player,pitch,x,y,release_speed,release_spin
Anthony Swarzak,2-Seam Fastball,-0.579307314,1.68286858,92.45454545,2116.977273
Anthony Swarzak,4-Seam Fastball,0.164861686,2.695705919,93.41183432,2284.399408
Anthony Swarzak,Slider,0.687355215,1.608786165,86.14454383,2448.777985
Antonio Senzatela,4-Seam Fastball,0.052590379,2.494674604,93.68606498,2101.941516
Antonio Senzatela,Changeup,-0.161316092,2.046349824,87.02808989,2059.146067
Antonio Senzatela,Curveball,-0.041842918,1.716051077,78.84831933,2213.969163
Antonio Senzatela,Slider,0.3485601,1.800247143,84.35114679,2136.173804
Archie Bradley,2-Seam Fastball,-0.84244838,2.255884088,95.08732394,2134.119718
Archie Bradley,4-Seam Fastball,-0.041160486,2.558261441,95.54620506,2241.908123
Archie Bradley,Changeup,-0.6271514,1.41566107,88.44133333,1532.6
Archie Bradley,Knuckle Curve,-0.136509959,1.684293445,82.07373418,1977.64127
Ariel Jurado,2-Seam Fastball,0.00842736,2.08148884,91.97393365,1770.183649
Ariel Jurado,4-Seam Fastball,0.086996418,2.773823152,93.11321962,2031.232409
Ariel Jurado,Changeup,-0.218403282,1.894108245,85.25371901,1945.475207
Ariel Jurado,Curveball,0.130219207,1.909149247,80.33278689,2267.033333
Ariel Jurado,Slider,0.621716205,1.715688744,85.26677524,2124.331126
Arodys Vizcaino,2-Seam Fastball,-0.471664781,2.47360621,95.85806452,2490.225806
Arodys Vizcaino,4-Seam Fastball,-0.51358539,2.980819264,96.34,2540.8
Arodys Vizcaino,Slider,0.492384904,1.689692622,83.184375,2547.125
Aroldis Chapman,4-Seam Fastball,0.013995301,2.507461662,98.01795775,2484.471831
Aroldis Chapman,Changeup,-0.726857805,2.615553256,88.1,1695
Aroldis Chapman,Sinker,0.566091191,2.571443038,100.1659794,2534.958763
Aroldis Chapman,Slider,-0.145909696,1.865546643,85.22178218,2489.496429
Art Warren,4-Seam Fastball,-0.066565535,2.379157745,95.03529412,2201.794118
